"Project 
Name",Company,"Plant 
Name","Storage and/or 
Capture","Overall 
Status","Plant 
Status","Project 
Phase","Country
Location","State 
Location","Specific 
Site Location","Plant Size or 
Capture Amount","Power or 
Capture Unit","Combustion/
Separation","Capture 
Technology","Amount of CO2 
Captured/Stored","Captured/Stored 
Unit","Project 
Summary","Project 
Start Date","Project 
Cost",Currency,"Project Information 
Webpage"
Petrobras Miranga CO2 Injection,Petrobras,Natural CO2,Capture and Storage,Active,,Injection Ongoing,Brazil,Bahia,Pojuca,,,Pre-Combustion,MTR Membrane System,400,Metric Tons Per Day,"Project involves testing three different storage scenarios - namely EOR, depleted gas reservoir, and saline aquifer storage. The goal is to develop technologies that could be used in to mitigate emissions from the Santos basin’s pre-salt cluster of fields.",01/01/2009,250000000,Brazilian Real,http://www.zeroco2.no/projects/petrobras-ccs
Petrom Zero Emissions Plant (ZEP),Petrom E&P,,Capture and Storage,Potential,Planned,Engineering design,Romania,,To be determined,15,Megawatt,Oxy-Combustion,Oxy-Fuel Combustion,,,Performing a feasibility study to design a zero emission plant. The plant will be supplied with CO2 rich gas from one of Petrom’s fields. CO2 from plant will be reinjected into an oil field for EOR.,01/01/2009,,US Dollar,http://petrom.webstyler.ro/pdffiles/Climate-change-52-EN.pdf
Petronas Gas Processing Capture Project,Petronas Fertilizer,Petronas Fertilizer Plant,Capture,Active,Existing,Plant in Operation,Malaysia,,Kuala Lumpur,,,Separation,Amines,160,Metric Tons Per Day,"Petronas fertilizer plant produces ammonia and urea for fertilizer manufacture. The plant produces 3,400 Nm3/h CO2 with 99.9% purity (160 t/d or approx. 60,000 tons/year).",10/01/1999,,US Dollar,http://globalenergyobservatory.org/geoid/40209
Phulpur Urea Plant CO2 Recovery project,Indian Farmers Fertiliser Cooperative Limited,CO2 Recovery (CDR) IFFCO Aonla Unit,Capture,Active,Existing,Plant in Operation,India,,"Phulpur, Uttar Pradesh",,,Post-Combustion,Amines,1940.55995047092,Metric Tons Per Day,MHI has provided technology to Indian Farmers Fertilizer Cooperative Limited (IFFCO) for two 450-MT/d CO2 recovery units for its two urea production plants completed at the end of last year.,01/01/2006,,US Dollar,http://www.zeroco2.no/projects/phulpur-urea-plant-india.-indian-farmers-fertiliser-co-operative-ltd
PICOREF Project,Gaz de France Production,Commercial Source,Storage,Completed,,Injection Complete,France,,Paris Basin,,,,,,,Project focused on identifying sites in France as potential geologic storage sites and optimize site evaluation processes for a CO2 project. The project was completed in 2006. PICOREF will continue in 2006-2007 within the French National Research Agency.,01/01/2005,3750000,Euros,http://members.igu.org/html/wgc2006/pdf/paper/add11170.pdf
Pioneer Project,TransAlta,Keephills 3 Coal-Fired Power Plant,Capture and Storage,Terminated,,,Canada,Alberta,Wabamun,450,Megawatt,Post-Combustion,Chilled Ammonia,2739.99990895391,Metric Tons Per Day,"The project had been terminated. The study suggested that although the technology works and capital costs were in-line with expectations, the market for carbon sales and the price of emissions reductions were insufficient to allow the project to proceed.",01/01/2008,779000000,Canadian Dollar,https://www.transalta.com/sites/default/files/Project%20Pioneer_Final%20Report_Executive%20Summary_2013.pdf
Porto Tolle,Enel,Coal/Biomass Power Plant,Capture and Storage,Hold,Existing,Permitting,Italy,Rovigo Province,"Rovigo, Veneto Region, Italy",250,Megawatt,Post-Combustion,Solvents,2739.99990895391,Metric Tons Per Day,"Due to permitting and legislation issues, the final investment decision has been delayed until 2016.",12/31/2012,2500000000,Euros,https://sequestration.mit.edu/tools/projects/enel_porto_tolle.html
Post-Combustion Capture Project in Beijing,CSIRO - Australian Commonwealth Scientific and Industrial Research Organization,Huaneng Beijing Co-Generation Power Plant,Capture,Active,Existing,Plant in Operation,China,,Beijing,845,Megawatt,Post-Combustion,Solvents,8.21999972686172,Metric Tons Per Day,"This is a post-combustion capture process at a Huaneng Beijing Co-Generation power plant fitted with liquid CO2 capture technology. The pilot plant plans to capture about 3,000 metric tons of CO2 per year and it is used in the food industry.",07/17/2008,4000000,US Dollar,https://hub.globalccsinstitute.com/publications/strategic-analysis-global-status-ccs-country-study-china/451-post-combustion-capture
Poza Rica EOR Project,Comisión Federal de Electricidad (CFE),Poza Rica Power Plant,Capture and Storage,Potential,Existing,Planning,Mexico,Veracruz,Tuxpan,250,Megawatt,Post-Combustion,Amines,8,Metric Tons Per Day,"Initial proposal was to run the demonstration project in the Tuxpan Power Plant that would be refitted to use coal as primary source. Due to CFE strategic decisions, it was decided to have the CCS project in the NGCC Power Plant located at Poza Rica.",01/01/2009,,US Dollar,http://eventos.iingen.unam.mx/CCSworkshops/ponenciasMEXICO2012/LACYPresentacionMONITORINGPOZARICA.pdf
Prairie State Energy Campus,Prairie State Energy Campus,Prairie State Energy Campus,Capture,Active,Existing,Plant in Operation,United States,Illinois,Washington County,1600,Megawatt,Post-Combustion,,15,% Reduction,Plant will have 15% less CO2 than typical U.S. coal plant. Pending decision on capture technology. The plant will use 'supercritical' boilers to combust coal.,08/01/2012,2900000000,US Dollar,http://www.ncsl.org/documents/energy/dequattro_ppt.pdf
Praxair Inc. CO2 Capture and Sequestration Project,"Praxair, Inc",BP Refinery and Hydrogen Production Facility,Capture and Storage,Terminated,Existing,Developing Infrastructure,United States,Mississippi,Southern Mississippi,,,Industrial,,2740,Metric Tons Per Day,This DOE Phase I ICCS project was selected for Phase I but not for Phase II.,01/01/2010,1719464,US Dollar,https://www.energy.gov/articles/secretary-chu-announces-first-awards-14-billion-industrial-carbon-capture-and-storage
Puertollano Plant,ELCOGAS S.A.,IGCC,Capture,Active,Existing,Capture Complete,Spain,Castile-La Mancha,Puertollano,335,Megawatt,Pre-Combustion,Pressurized Entrained Flow (Prenflo),100,Metric Tons Per Day,"Aim of project is to validate at industrial scale, H2 co-production and CO2 capture (from coal and petcoke) integrated with electricity production in and existing commercial IGCC. Goal is to capture 100 tpd of CO2 and produce 200 t of H2 per day.",,13400000,Euros,http://www.elcogas.es/en/igcc-technology/desing-technology/co2-capture
"Purdy, Sho-Vel-Tum EOR Project",Anadarko Petroleum Corporation,"Koch Nitrogen’s
Knoch Nitrogen - Enid Fertilizer Plant",Capture and Storage,Active,Existing,Injection Ongoing,United States,Oklahoma,Purdy,,,Pre-Combustion,Amino Acid-Based Solvents & Membranes,675000,Metric Tons Total,"Captured CO2 from a Fertilizer Plant in Enid, Oklahoma. CO2 transported ~120 miles to the Northeast Purdy Unit and Bradley Unit for EOR.",01/01/2003,,US Dollar,http://globalenergyobservatory.org/geoid/40281
PureGen Project,SCS Energy,Coal-Fired Power Plant,Capture and Storage,Terminated,Planned,Planning,United States,New Jersey,Linden,500,Megawatt,Post-Combustion,,90,% Reduction,"Build a coal-fired electric plant in Linden, New Jersey, that would capture its emissions of carbon dioxide and pump the pollutant 70 miles offshore for sequestration in a sandstone approximately 1 mile beneath ocean floor.",01/01/2014,5000000000,US Dollar,No project-specific link identified.
Qinshui ECBM Project,Canadian International Development Agency,Commercial Source,Storage,Completed,,Injection Complete,China,Shanxi Province,South Qinshui Basin,,,,,192,Metric Tons Total,"This is a Chinese-Canadian collaborating project. Starting in April 2004, a total of 192 metric tons CO2 was injected into the coalbed.",03/01/2002,10000000,Canadian Dollar,https://gcep.stanford.edu/pdfs/wR5MezrJ2SJ6NfFl5sb5Jg/15_china_gunter.pdf
QPC Quimica Methanol Production Plant,QPC Quimica,QPC Quimica Methanol Production Plant,Capture,Active,Existing,Plant in Operation,Brazil,,North of Rio de Janeiro,,,Post-Combustion,Amines,163.979997541755,Metric Tons Per Day,"In 1997, AGA entered an agreement whereby it would build a flue-gas CO2 recovery unit and ultimately deliver quantities of food grade CO2 for soft drinks manufacturers in the area.",01/01/1997,,US Dollar,http://www.zeroco2.no/projects/metanol-plant-prosint
Quest Carbon Capture and Storage Project,Shell,Scotford Upgrader,Capture,Active,Existing,Capture Ongoing,Canada,Alberta,Fort Saskatchewan,225000,Barrels Per Day,Industrial,Amines,3013.9998998493,Metric Tons Per Day,The Quest Carbon Capture and Storage Project will reduce CO2 emissions from Shell’s oil sands operations by more than one million metric tons a year by capturing CO2 from its Scotford upgrader and permanently storing it deep underground.,09/05/2012,1350000000,Canadian Dollar,http://www.shell.ca/en/aboutshell/our-business-tpkg/upstream/oil-sands/quest.html
Rangely-Webber EOR,Chevron,LaBarge Natural Gas Processing Facility,Storage,Active,Existing,Injection Ongoing,United States,Colorado,Rangely (Rio Blanco County) Weber Sandstone,14000,Barrels Per Day,,,3561.99988164008,Metric Tons Per Day,"Continued carbon dioxide flooding and drilling of more wells helps maintain production at 14,000 barrels a day. Cumulative production of 860 million barrels makes the field the most prolific in the Rocky Mountains in 2005.",01/01/1986,,US Dollar,http://www.uwyo.edu/eori/_files/co2conference12/rory_rangelycasehistory.pdf
RECOPOL Project,European Commission,Commercial Source,Storage,Completed,,Injection Complete,Poland,,Silesian Basin Katowice,,,,,2.08239993080497,Metric Tons Per Day,"The project conducted research and pilot field tests storing CO2 in coal seams in the Silesian coal basin of Poland. Over a time period from August 2004 to June 2005, a total of 760 metric tons CO2 was injected into the well.",10/01/2001,3500000,Euros,http://www.cgseurope.net/Sections.aspx?section=491.492.511
Riley Ridge Gas Plant,"Denbury Onshore, LLC",Riley Ridge Gas Plant,Capture and Storage,Potential,In Development,Planning,United States,Wyoming,"Big Piney, Wyoming",6849.99977238476,Metric Tons Per Day,Pre-Combustion,Amines,,,Initial development plans for CO2 capture from the Riley Ridge Gas plant envisaged a 2015-17 start-up date. Denbury has indicated that the new plan is for a 2020 development timeline.,01/01/2020,,US Dollar,http://www.zeroco2.no/projects/riley-ridge-gas-plant-eor
RWE CCS Eemshaven,RWE,Eemshaven Power Plant,Capture,Hold,Planned,Plant Design,Netherlands,,Eemshaven,1600,Megawatt,Post-Combustion,Amines,3287.99989074469,Metric Tons Per Day,"RWE is planning a 1,600-MW coal- and biomass-fired power plant in Eemshaven together with a 200,000 ton per year (equivalent to 35 MW) post-combustion CO2 capture R&D unit.",01/01/2016,,US Dollar,http://www.zeroco2.no/projects/eemshaven
RWE IGCC Plant with CO2 Storage,RWE Power,RWE Power IGCC Plant ,Capture and Storage,Hold,Planned,Permitting,Germany,,Heurth,450,Megawatt,Pre-Combustion,,7123.99976328015,Metric Tons Per Day,"The project will be a large-scale, coal-fired power plant that combines coal gasification (IGCC), CO2 separation, and CO2 storage in a saline aquifer. CO2 will be delivered to the storage site through a 540-km pipeline.",01/01/2014,2000000000,Euros,http://www.rwe.com/web/cms/en/2688/rwe/innovations/power-generation/clean-coal/igcc-ccs-power-plant/
RWE nPower - Aberthaw Capture Project in UK,RWE nPower,Aberthaw Power Station,Capture,Active,Existing,Capture Ongoing,United Kingdom,The Vale of Glamorgan,South Wales,3,Megawatt,Post-Combustion,Cansolv Technologies' Capture Technology,50,Metric Tons Per Day,RWE npower is building a combined SO2 and CO2 capture pilot plant at the UK Aberthaw coal-fired power plant. It will be a 3-MW plant that will capture up to 50 metric tons of CO2 per day.,01/01/2011,8400000,British Pound,http://www.rwe.com/web/cms/en/1776080/rwe-generation-se/fuels/location-overview/uk/aberthaw-power-station/
RWE nPower - Blyth Post-Combustion Project,RWE nPower,Blyth Power Station,Capture,Terminated,Planned,Planning,United Kingdom,,Cambois,2400,Megawatt,Post-Combustion,,8219.99972686172,Metric Tons Per Day,"It may eventually install CCS equipment once the technology is ""proven."" Capture technology was able to capture 90% CO2. Project stopped due to uncertain economic climate in 2009.",01/01/2014,2000000000,British Pound,http://www.zeroco2.no/projects/rwe-npower-2013-blyth-post-combustion-project
RWE nPower - Tilbury Project in UK,RWE Power,Tilbury Clean Coal Plant,Capture and Storage,Terminated,Planned,Plant Design,United Kingdom,Essex,Tilbury,1131,Megawatt,Post-Combustion,,90,% Reduction,Plant could reduce emissions by 90%. A key of the study is to look at the transportation options and storage in geological formations for possible EOR or EGR.,01/01/2013,1000000000,British Pound,http://sequestration.mit.edu/tools/projects/rwe_npower_tilbury.html
RWE/BASF/Linde CO2 Capture Project Niederaussem,RWE Power,RWE Power AG Lignite Plant,Capture,Completed,Existing,Capture Complete,Germany,North Rhine - Westphalia,Niederaussem in Bergheim,1000,Megawatt,Post-Combustion,Amines,2000,Metric Tons Total,The pilot plant is capturing 300 kg CO2/hr from a bypass flue gas stream from the plant.,08/18/2009,9000000,Euros,http://www.zeroco2.no/projects/rwe2019s-scrubbing-pilot-plant-in-cooperation-with-basf-and-linde
Saline Joniche SEI,SEI,Saline Joniche Power Plant,Capture and Storage,Terminated,Planned,Permitting,Italy,,Calabria,1320,Megawatt,Post-Combustion,,0,Metric Tons Per Day,"SEI S.p.A. (Milan) was planning the construction of a modern coal-fired power plant with an installed capacity of 1,320 MW on an unused industrial area in Saline Joniche.",01/01/2013,,US Dollar,http://globalenergyobservatory.org/geoid/40325 
"Salt Creek, Monell, Sussex Unit EOR",Anadarko Petroleum Corporation,Commercial Source,Storage,Active,,Injection Ongoing,United States,Wyoming,"Sweetwater County, Wyoming",,,,,5479.99981790781,Metric Tons Per Day,CO2 is piped 125 miles to the site and is sequestered about 579 meters into sandstone reservoir for EOR in Salt Creek and Monel reservoirs.,01/01/2004,400000000,US Dollar,http://www.uwyo.edu/eori/_files/co2conference08/jason%20gaines_anadarko_eori_co2%20casper%20may%2029%202008.pdf
Sargas Husnes Norwegian Clean Coal Plant Project,Sargas,400-MW Coal-Fired Power Plant ,Capture and Storage,Hold,Planned,Planning,Norway,Hordaland,Husnes,400,Megawatt,Post-Combustion,,7123.99976328015,Metric Tons Per Day,The plant has been on hold since 2008. Was to capture about 2.6 million metric tons of CO2/yr for EOR in North Sea oil fields.,01/01/2011,700000000,US Dollar,https://sequestration.mit.edu/tools/projects/sargas_husnes.html
Sargas Natural Gas CCS,Sargas,Sargas Natural Gas CCS,Capture,Hold,In Development,Planning,Norway,, Fraena,250,Megawatt,,Sargas Natural Gas CCS,,,"The project's patented designs capture 90% of the CO2 and virtually eliminates NOx, SOx, and Hg emissions, whether applied to greenfield or retrofitted plants. Sargas and Shell have announced plans to construct a plant with CO2 capture.",06/17/2016,,US Dollar,https://www.timesofmalta.com/articles/view/20120619/local/ge-sargas-announce-collaboration.425067
Sargas Vartan,Sargas,Vartan Power Plant,Capture,Completed,Existing,Capture Complete,Sweden,,"Värtan, Stockholm",3287.99989074469,Metric Tons Per Day,Post-Combustion,Solvents,,,"SARGAS currently has a breakthrough, proprietary technology for CO2 capture, which can be used at coal at a very affordable price. The challenge lies in how the large amounts of CO2 to be stored, and who takes the bill for disposal.",01/01/2007,,US Dollar,http://translate.google.com/translate?hl=en&sl=no&u=http://www.ukeavisenledelse.no/norsk-sm%25C3%25A5bedrift-vil-vokse-p%25C3%25A5-co2-fri-kullkraft&prev=/search%3Fq%3DSargas%2BVartan%26start%3D10%26safe%3Doff%26sa%3DN%26es_sm%3D122%26biw%3D1264%26bih%3D9
SaskPower Oxyfuel,SaskPower,Shand Power Station,Capture and Storage,Terminated,Planned,,Canada,Saskatchewan,Estevan,300,Megawatt,Oxy-Combustion,,8000,Metric Tons Per Day,"SaskPower had planned to implement a 300-MW clean coal plant that would capture about 8,000 metric tons of CO2 a day for EOR and/or sequestration. Project rejected due to capital cost and uncertainty of the economic value of CO2 reduction.",01/01/2012,1500000000,Canadian Dollar,http://www.ieaghg.org/docs/CCS%20financing%20pdfs/J%20-%20Stobbs%20-%20Saskpower%20oxyfuel%20project.pdf
Scale-Up and Testing of Advanced Polaris Membrane CO2 Capture Technology,"Membrane Technology and Research, Inc (MTR)",CO2 Technology Centre Mongstad (TCM),Capture,Active,Existing,Engineering design,Norway,Hordaland,Bergen,10,Megawatt,Post-Combustion,MTR Polaris™ Membrane System,,,"Test transformational solvent-based CO2 capture technologies at engineering-scales using existing infrastructure, or membrane-based approaches that can be built and tested at a relevant scale that can be easily replicated for larger systems.",,9827258,US Dollar,https://www.energy.gov/articles/energy-department-invests-44m-advanced-carbon-capture-technologies-projects
Schwarze Pumpe (Vattenfall CO2-Free Oxyfuel Plant),Vattenfall,Vattenfall Pilot Plant,Capture and Storage,Terminated,Existing,Plant in Operation,Germany,Spremberg,Schwarze Pumpe,30,Megawatt,Post-Combustion,,216,Metric Tons Per Day,"The plant will use oxyfuel technology to separate out CO2, and the captured CO2, will be transported by truck, is to be stored in a gas field in Altmark.",05/01/2008,120000000,Euros,http://www.globalccsinstitute.com/sites/www.globalccsinstitute.com/files/content/page/122975/files/Schwarze%20Pumpe%20Oxyfuel%20Pilot%20Plant.pdf
Scottish and Southern Energy - West Yorkshire,Scottish and Southern Energy,Ferrybridge Power Station,Capture,Active,Existing,Plant in Operation,England,West Yorkshire,Ferrybridge,5,Megawatt,Post-Combustion,Amines,100,Metric Tons Per Day,"In capturing 100 metric tons of CO2 daily, the plant bridges the gap between small pilot trials that are underway and the commercial-scale demonstration projects. CO2 is to be stored in North Sea",11/30/2011,21000000,British Pound,http://uk.reuters.com/article/2011/11/30/uk-carbon-capture-pilot-idUKTRE7AT1CI20111130
Scottish Power - Cockenzie Project,Scottish Power,Cockenzie Power Plants,Capture,Terminated,Decommissioned,Plant Closed,United Kingdom,,East Lothian,1200,Megawatt,Post-Combustion,,5,% Reduction,Scottish Power plans to convert the plant from coal to  combined cycle gas turbine reducing carbon emissions. The plant will be carbon capture ready and required to fit full carbon capture and storage technology once it is commercially available.,01/01/2012,,Euros,http://www.gov.scot/News/Releases/2011/10/05131125
Scottish Power - Longannet Biomass Power,Scottish Power,Longannet Power Plant,Capture and Storage,Terminated,Planned,,Scotland,,West Fife,2400,Megawatt,,,,,A decision has been made not to proceed with Longannet but to pursue other projects with the £1bn funding made available by the government.,,1000000000,British Pound,http://coalpowerplants.blogspot.com/2011/01/longannet-coal-power-plant.html
Scottish Power - Longannet CCS,Scottish Power,Longannet Coal-Fired Plant,Capture and Storage,Terminated,Existing,Planning,Scotland,,Kincardine,2400,Megawatt,Post-Combustion,Amines,,,Project was to convert the plant to a supercritical coal plant and capture CO2 and sequester it in a depleted oil field in the North Sea.,,1500000000,British Pound,http://www.rsc.org/chemistryworld/News/2011/October/24101102.asp
Searles Valley Minerals,Searles Valley Minerals,Power Plant Capture,Capture and Storage,Active,Existing,Plant in Operation,United States,California,Trona,108,Megawatt,Post-Combustion,Amines,739.799975417554,Metric Tons Per Day,The CO2 is captured from the flue gas of a coal power plant.,01/01/1978,,US Dollar,http://www.zeroco2.no/projects/searles-valley-minerals
SECARB Development Phase - Citronelle Project,Southern States Energy Board,Alabama Power's Plant Barry,Capture and Storage,Completed,Existing,Post-Injection Monitoring,United States,Alabama,Bucks,25,Megawatt,Post-Combustion,Amines,114104,Metric Tons Total,"Injection operations were initiated in September 2012, with approximately 110,000 metric tons injected to date. Post-injection operations to be completed in September 2017.",09/22/2007,93689241,US Dollar,https://www.netl.doe.gov/File%20Library/Research/Carbon-Storage/Citronelle-SECARB-Project.PDF
SECARB Development Phase - Cranfield Project,Southern States Energy Board,Jackson Dome,Storage,Completed,Existing,,United States,Mississippi,Adams County,,,,,4743898,Metric Tons Total,"To date, the project has injected over 8 million metric tons of CO2 (through 23 injection wells) into the stacked storage regime within the Tuscaloosa formation at the Cranfield Site.",04/01/2009,111413431,US Dollar,http://www.netl.doe.gov/publications/factsheets/project/NT42590.pdf
SECARB Validation Phase - Black Warrior Basin Project,Southern States Energy Board,Jackson Dome,Storage,Completed,,Injection Complete,United States,Alabama,Tuscaloosa County,,,,,252,Metric Tons Total,"As in the Central Appalachian Basin, the objectives of the Black Warrior Basin test were to determine if sequestration of CO2 in mature CBM reservoirs is a safe and effective method to mitigate GHG emissions and to determine if injectivity exists.",10/01/2009,28872892,US Dollar,http://www.secarbon.org/files/black-warrior-basin.pdf
SECARB Validation Phase - Central Appalachian Basin Coal Test,Southern States Energy Board,Commercial Source,Storage,Completed,,,United States,Virginia,Russell County,,,,,907,Metric Tons Total,"The project evaluated the injection of more than 900 metric tons of CO2 into multiple coal seams of the Pocahontas Formation and Lee Formation at depths ranging between 1,400 and 2,200 feet.",01/15/2009,28872892,US Dollar,http://www.secarbon.org/files/central-appalachian-basin.pdf
SECARB Validation Phase - Plant Daniel Project,Southern States Energy Board,Commercial Source,Storage,Completed,Existing,,United States,Mississippi,Escatawpa,,,,,2740,Metric Tons Total,The primary objective of this project was to locate and evaluate suitable saline formations for storage of CO2 in close proximity to large coal-fired power plants along the Mississippi Gulf Coast.,04/01/2006,28872892,US Dollar,http://www.secarbon.org/files/mississippi-test-site.pdf
SECARB Validation Phase - Stacked Storage Test,Southern States Energy Board,Jackson Dome,Storage,Completed,,,United States,Mississippi,Cranfield Oilfield,,,,,627744,Metric Tons Total,"Initiated injection of CO2 for the storage/EOR activity on July 15, 2008. As of March 2009, approximately 627,744 metric tons of CO2 have been injected.",07/15/2008,28872892,US Dollar,http://www.secarbon.org/?page_id=8
Seminole Electric Cooperative,Seminole Electric Cooperative,Seminole Generating Station,Capture,Terminated,Existing,Permitting,United States,Florida,Palatka,750,Megawatt,Post-Combustion,,13800.7657814212,Metric Tons Per Day,This project would make SGS Unit 3 (750 MW) the first electric generating unit in Florida to propose installing a carbon dioxide capture demonstration project.,01/01/2006,1400000000,US Dollar,http://www.powermag.com/seminole-scraps-plans-for-1-4-billion-coal-fired-unit-in-florida/
SEQ Zero Emission Power Plant (ZEPP),SEQ Nederland B.V.,Zero Emission Power Plant (ZEPP),Capture and Storage,Completed,In Development,Developing Infrastructure,Netherlands,,Drachten,50,Megawatt,Post-Combustion,,684.999977238476,Metric Tons Per Day,"SEQ Nederland B.V. and ONS Energy are planning to build Zero Emission Power Plant (ZEPP) in Drachten, Netherlands, producing 50 MW using a novel oxy-fuel technology. 250,000 metric tons annually CO2 will be captured and used for EGR in nearby gas fields.",01/01/2009,60000000,Euros,https://www.co2-cato.org/news/news/publication-of-zero-emmission-power-plant-seq-documents
Shanxi International Energy Oxyfuel Project,"Shanxi International Energy Group Company, Ltd (SIEG)",SIEG Power Plant in Taiyuan,Capture,Potential,Planned,Planning,China,,"Taiyuan, Shanxi",350,Megawatt,Oxy-Combustion,Oxy-Fuel Combustion,6849.99977238476,Metric Tons Per Day,Air Products performed the feasibility and cost study in 2014. No further info regarding the project.,01/01/2020,,US Dollar,http://www.globalccsinstitute.com/project/shanxi-international-energy-group-ccus-project
Shell Chemical CCS Project,Shell,Multiple,Capture and Storage,Terminated,Existing,Site Selection,United States,Louisiana,Between Baton Rouge and New Orleans,,,Industrial,,2740,Metric Tons Per Day,This DOE Phase I ICCS project was selected for Phase I but not for Phase II.,,3000000,US Dollar,https://www.energy.gov/articles/secretary-chu-announces-first-awards-14-billion-industrial-carbon-capture-and-storage
Shenhua Ningxia CTL Project,Shenhua Group Corporation,Shenhua Ningxia Coal to Liquids,Capture,Potential,Planned,Planning,China,,Northwest China's Ningxia Hui Autonomous Region,10000,Megawatt,Pre-Combustion,Solvents,,,Coal gasification (using Seimen's IGCC to syngas process) to produce hydrocarbon liquids/gases and to capture 2 million metric tons per annum (Mtpa) CO2 using physical solvent-based absorption process. CO2 capture date to start 2020.,01/01/2020,,US Dollar,https://www.netl.doe.gov/publications/proceedings/08/CO2E/PDF/session%201/2008.5.Hangzhou%20CO2%20forum-EN.pdf
Shute Creek Plant,ExxonMobil,Shute Creek Treating Facility,Capture,Active,Existing,Capture Ongoing,United States,Wyoming,"West of Labarge, Wyoming",0,Megawatt,,ExxonMobil Controlled Freeze Zone (CFZ),1095.99996358156,Metric Tons Per Day,"CO2 capture and storage has been utilized at the facility since 1987, mostly used for EOR.",12/01/2009,1000000,US Dollar,http://www.globalccsinstitute.com/project/shute-creek-gas-processing-facility
Sigma Power Ariake Mikawa,Toshiba Corporation,Mikawa Power Station,Capture,Active,Existing,Plant in Operation,Japan,,"Omuta City, Fukuoka Prefecture",47.5000022561289,Megawatt,Post-Combustion,Amines,10,Metric Tons Per Day,The Mikawa pilot plant is designed to capture 10 tons of CO2 a day from flue gas of the boiler of the coal-fired thermal power plant.,08/01/2009,,Japanese Yen,http://www.toshiba.co.jp/about/press/2008_12/pr0301.htm
Sinopec Qilu Petrochemical CCS Project,Qilu Petrochemical Company (subsidiary of Sinopec),Sinopec Qilu Petrochemical CCS Project,Capture and Storage,Hold,In Development,Engineering design,China,,"Shandong Province, China",1369.99995447695,Metric Tons Per Day,Pre-Combustion,Cold Methanol (Rectisol),1369.99995447695,Metric Tons Per Day,"Three GE gasifiers supply syngas to fertilizer mfg. The next project would capture and compress CO2 for EOR use, after transportation of 47 miles.",12/01/2017,,US Dollar,http://www.globalccsinstitute.com/projects/sinopec-qilu-petrochemical-ccs-project
Sinopec Shengli Power Plant CCS Project,China National Petroleum Company.,Sinopec Shengli Power Plant CCS Project,Capture and Storage,Active,In Development,Engineering design,China,,"Dongying City, Shandong Province, China",600,Megawatt,Post-Combustion,Amines,2739.99990895391,Metric Tons Per Day,"Flue gas desulfurization (FGD) and De-NOx units are equipped to the Phase III power Production Units, with typical post-combustion CO2 capture process is used in the project. For EOR. May also be called Shengli Dongying power station.",01/01/2018,,US Dollar,https://www.globalccsinstitute.com/projects/sinopec-shengli-power-plant-ccs-project
Site Characterization for CO2 Storage from Coal-Fired Power Facilities in the Black Warrior Basin of Alabama,University of Alabama,,Storage,Completed,,,United States,Alabama,Parrish,,,,,,,This project assessed CO2 storage capacity in the Black Warrior Basin. Test well drilled at the Alabama Power Goras Plant.,12/08/2009,17267794,US Dollar,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0001910
Site Characterization of the Highest-Priority Geologic Formations for CO2 Storage in Wyoming,University of Wyoming,,Storage,Completed,,,United States,Wyoming,Laramie,,,,,,,Characterization of the Rock Springs Uplift (RSU) and Moxa Arch deep saline reservoirs in southwestern Wyoming to pave the way for commercial-scale CO2 sequestration projects.,12/08/2009,17979452,US Dollar,https://www.netl.doe.gov/File%20Library/Events/2012/Carbon%20Storage%20RD%20Project%20Review%20Meeting/Surdam.pdf
Sleipner Project,Statoil,Statoil Sleipner West Gas Field,Capture and Storage,Active,Existing,Injection Ongoing,Norway,,North Sea,,,Separation,Amines,2739.99990895391,Metric Tons Per Day,The Sleipner West natural gas field in the North Sea produces CO2 from the gas. The CO2 is separated from the gas and reinjected into the Sleipner West gas field in the Utrisa formation to meet specifications.,08/01/1996,350000000,Euros,https://www.statoil.com/en/what-we-do/norwegian-continental-shelf-platforms/sleipner.html
Slipstream Development and Testing of Siemens POSTCAP Capture and Separation Technology,"Siemens Energy, Inc.",Tampa Electric Company's Big Bend Station,Capture,Completed,Existing,,United States,Florida,Tampa,2.5,Megawatt,Post-Combustion,Aqueous Amino Acid Salt-Based Solvent,50,Metric Tons Per Day,"Design, install, and operate a pilot plant treating 2.5 MWe slipstream of flue gas.",10/01/2010,18750000,US Dollar,http://www.netl.doe.gov/research/coal/carbon-capture/post-combustion/siemens-postcap
Slipstream Testing of a Membrane CO2 Capture Process for Existing Coal-Fired Power Plants,"Membrane Technology and Research, Inc (MTR)",National Carbon Capture Center,Capture,Completed,Existing,,United States,Alabama,Wilsonville,1,Megawatt,Post-Combustion,MTR Membrane System,20,Metric Tons Per Day,"1 tpd capture field test site Cholla Power Plant (AZ), with scale-up to 20 tons/day at NCCC site.",10/01/2010,18750000,US Dollar,http://www.netl.doe.gov/File%20Library/Research/Coal/ewr/co2/FE0005795.pdf
Snøhvit Field LNG and CO2 Storage Project,Statoil,Snøhvit Field and Hammerfest LNG Plant,Capture and Storage,Active,Existing,Injection Ongoing,Norway,,Melkøya,,,Separation,Amines,1917.99993626773,Metric Tons Per Day,"Snøhvit gas field developed by Statoil is in the Barents Sea where gas is extracted and the CO2 is separated from the gas and injected into Tubasen sandstone formation 2,600 m below the seabed. Gas is transported to shore to strip the CO2 and produce LNG.",04/22/2008,5200000000,Norwegian Kroner,http://www.zeroco2.no/projects/snoehvit
